
[10.7.2017 | 16:04] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:04] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:04] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:04] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:04] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:04] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 16:07] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 16:07] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: PointsHandler # !removehoney {0} {1}  Args: 100, yo - Points successfully removed
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:07] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:09] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 16:09] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 16:09] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 16:09] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:09] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:09] Sender method: PointsHandler # !removehoney {0} {1}  Args: 100, yo - Points successfully removed
[10.7.2017 | 16:09] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:09] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:09] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:10] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:14] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 16:14] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 16:14] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 16:14] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:14] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:15] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 16:15] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 16:16] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:16] Sender method: PointsHandler # !med  Args: None # Points printed for user Bukk94 # Value: 328
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:16] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:56] Sender method: LoadCurrencyDetails # Currency details were load successfully
[10.7.2017 | 16:56] Sender method: LoadCommands # Commands Loaded
[10.7.2017 | 16:56] Sender method: Connect # Bot has successfully connected to Twitch account and joined the channel medvedibot
[10.7.2017 | 16:56] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:56] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:56] Sender method: PointsHandler # !med  Args: None # Points printed for user Bukk94 # Value: 330
[10.7.2017 | 16:56] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:56] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:56] Sender method: SavePoints # Points were saved successfully
[10.7.2017 | 16:56] Sender method: PointsHandler # !addhoney {0} {1}  Args: 50, bukk94 - Points successfully added
